,Brand,Model,Price,Engine Capacity,Classification,Registration Date,COE Expiry Date,Mileage,No. of owners,Type of Vehicle,Listing Details,Price (06-Jul-2022),Price (07-Jul-2022),Price (08-Jul-2022),Price (12-Jul-2022)
11,BMW,BMW R NineT,SGD$49888,1170cc,Class 2,11-Mar-22,10-Mar-32,1856km,- ,Street Bikes, Used BMW R NineT Option 719 For Sale!*Consignment UnitLow Mileage.* Price Before Insurance Only. : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies Please Contact Our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915 Fiona - +65 96914631 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$49888,SGD$49888,SGD$49888,SGD$49888
12,Yamaha,Yamaha FZ1-S,SGD$16800,998cc,Class 2,4-Apr-12,31-Mar-32,-,- ,Street Bikes, Yamaha FZ1-S For Sale.Visit United Cycles Now. New 10 Years COE Expire 2032. Trade In/Loan Available.Price Nego For Sincere Buyers.Call/Whatsapp Now! ,SGD$16800,SGD$16800,SGD$16800,SGD$16800
13,Honda,Honda CB400X,SGD$8800,399cc,Class 2A,16-Jul-14,15-Jul-24,100000km,3,Sport Tourers," Used Honda CB400X For Sale.COE Till (07/2024).- $0 Down Payment Plan - Flexible Installment Plan- Low Interest Rate- High Trade In Value - No Hidden Cost - Price Break DownBike Is Well Taken Care By Previous Owner.Low Mileage.Accident Free.See It To Believe It.Grab It Before It Gone.Cash Or Installment Plan Is Available.Come On Down To View It And Also Have A Try-on The Bike.✅Your One Stop Solution ✅For More Enquires Do Feel Free To DM Us Or Whatsapp Our Salesman.Junwei - 96376942Asher-89238139Office -69040460Address :1 Tampines North Dr 1,T-space#02-03Singapore(528559)Operating Hours :Mon - Fri (10 am - 8 pm)Sat (10 am - 6 pm)Sun (Closed)*Terms & Condition Apply ",SGD$8800,SGD$8800,SGD$8800,SGD$8800
14,Yamaha,Yamaha FZS150,SGD$12300,149cc,Class 2B,20-Feb-20,19-Feb-30,-,- ,Street Bikes, Yamaha FZS150i For Sale. Visit United Cycles Now.Trade In/Loan Available.Price Nego For Sincere Buyers.Call Now! ,SGD$12300,SGD$12300,SGD$12300,SGD$12300
15,Harley Davidson,Harley Davidson Fat Boy Special,SGD$38888,1690cc,Class 2,10-Feb-12,30-Nov-31,71688km,1,Cruiser, Harley Davidson Fat Boy Special For Sale.Spray Painted & Powder Coated Done.Genuine Mileage.COE Till November 2031. Bike Done Up At Ace Custom (Tony).Smooth & Very Beautiful Rumbling SoundRecently Serviced.Loan Available.Pm Or Whatsapp Me. ,SGD$38888,SGD$38888,SGD$38888,SGD$38888
16,Honda,Honda Adv 150,SGD$14900,149cc,Class 2B,15-Mar-21,14-Mar-31,-,- ,Scooters, Honda ADV150 For Sale. Visit United Cycles Now.Trade In/Loan Available.Price Nego For Sincere Buyers.Call Now! ,SGD$14900,SGD$14900,SGD$14900,SGD$14900
17,Yamaha,Yamaha Aerox 155,SGD$10900,155cc,Class 2B,11-Mar-20,10-Mar-30,-,- ,Scooters, Yamaha Aerox 155 For Sale. Visit United Cycles Now.Trade In/Loan Available.Price Nego For Sincere Buyers.Call Now! ,SGD$10900,SGD$10900,SGD$10900,SGD$10900
18,Honda,Honda CB400 Super 4 Revo,SGD$18800,399cc,Class 2A,27-Jul-12,26-Jul-32,-,- ,Street Bikes, Honda CB400 Super 4 Revo For Sale.New 10 Years COE Renewal Till 2032. Interested Parties Are Welcome To Neg.Trade/Loan Available.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee.More Than 900 Bikes Have Been Sold Via This Platform! ,SGD$18800,SGD$18800,SGD$18800,SGD$18800
19,Yamaha,Yamaha Xmax 300,SGD$18888,292cc,Class 2A,22-Mar-21,21-Mar-31,28800km,1,Scooters, Mint Condition Yamaha Xmax 300!Decent Mileage.View To Believe.Trade/Loan Available.Contact Us Today! ,SGD$18888,SGD$18888,SGD$18888,SGD$18888
20,BMW,BMW R1200GS,SGD$9999,1170cc,Class 2,28-Dec-06,27-Dec-26,200000km,2,Sport Tourers, Rare Unit!Decent Condition BMW R1200GS.View To Believe.Trade/Loan Available.Contact Us Today! ,SGD$9999,SGD$9999,SGD$9999,SGD$9999
21,Yamaha,Yamaha Aerox 155,SGD$9800,155cc,Class 2B,28-May-19,27-May-29,43230km,2,Scooters, May 2019 Yamaha Aerox 155 For Sale.Well Maintained. Direct Seller.Decided To Change To Car. View And Testing Ride Are Welcome. ,SGD$9800,SGD$9800,SGD$9800,SGD$9800
22,BMW,BMW G310GS,SGD$16800,313cc,Class 2A,28-Nov-19,27-Nov-29,32891km,1,Sport Tourers," Preloved BMW G310GS ABS For Sale!1 Owner. Beat The Coe Hike With Us!New Bike Loan Interest Rates At 2.68%Visit Us Now!Why Wait? When You Can Get It Now. Refinance/Reloan Eighteen Motto Pte Ltd Whats More To Say? Experience Yourself, Dont Hearsay. Beginning Of 2022 Flat Rate For All Classes.2.68% P.A. - All Brand New3.88% P.A. - Used Bike/Reloan5.88% P.A. - Used Bike More Than 10 Years/ReloanT&C Applies$0 Down PaymentFast Loan ApprovalFlexible Loan OptionsWe Accept Trade InNo Hidden CostWe Provide Breakdown Of PricingCall Or Pm Us For Free QuotationMonthly Payment By Giro/PaynowWait No More! Contact Us Now: David: 97121818Jessica: 83421818 Jc: 96261818 Showroom Address:40 Kaki Bukit Crescent, Singapore 416266Tel: 67433110Operating Hours:Monday To Saturday (Closed On Ph)9:30Am To 6:30Pm ",SGD$16800,SGD$16800,SGD$16800,SGD$16800
23,BMW,BMW S1000R,SGD$27888,999cc,Class 2,27-Oct-17,26-Oct-27,25765km,2,Street Bikes, Rare Prestige Condition BMW S1000R.Super Low Mileage.Never Dropped Or Accident.Always Under Shelter.Get Hold Of This Beast Before It’s Gone!! Accessories- Full Protector And Guard- Full Legal Akraprovic With Cert,SGD$27888,SGD$27888,SGD$27888,SGD$27888
24,Kymco,Kymco Downtown 350I,SGD$7999,321cc,Class 2B,27-Apr-16,26-Apr-26,95690km,1,Scooters, 2016 Kymco Downtown 350I For Sale.Fully Stock.Decent Engine Condition.Need A Fancy Bike? Look No Further. View To Believe. Contact Us Today! AccessoriesRear Shag Box.,SGD$7999,SGD$7999,SGD$7999,SGD$7999
25,Yamaha,Yamaha XT1200Z Super Tenere,SGD$16800,1199cc,Class 2,21-May-11,20-May-21,180000km,1,Sport Tourers," Used Yamaha Super Tenere XT1200Z!New 10 Years COE Included.Bike Is Well Taken Care By Previous Owner.Accident-Free.Come On Down To View It And Also Have A Try-on The Bike.For More Enquires Do Feel Free To Dm Us Or Whatsapp Our Salesman.Junwei - 96376942Address :1 Tampines North Dr 1,T-space#02-03Singapore(528559)Operating Hours :Mon-fri (10Am-8Pm)Sat (10Am-6Pm)Sun (Closed) Accessories3 Boxes.Leo Vince Legal Exhaust..",SGD$16800,SGD$16800,SGD$16800,SGD$16800
26,KTM,KTM 1290 Super Duke R,SGD$51000,1301cc,Class 2,18-Nov-20,17-Nov-30,5811km,1,Street Bikes, KTM 1290 Super Duke R For Sale.Trade In/Loan Of Vehicle Available.Interested Buyers Are Welcome To Neg.Come Visit M1 Motoring Changi. ,SGD$51000,SGD$51000,SGD$51000,SGD$51000
27,KTM,KTM 350 EXC-F Six Days,SGD$18500,350cc,Class 2A,1-Jul-17,30-Jun-27,54438km,1,Super Motards, KTM 350 EXC-F Six Days For Sale.Trade In/Loan Of Vehicle Available.Interested Buyers Are Welcome To Neg.Come Visit M1 Motoring Changi. ,SGD$18500,SGD$18500,SGD$18500,SGD$18500
28,Yamaha,Yamaha Sniper 150,SGD$9288,150cc,Class 2B,24-Jun-19,23-Jun-29,43000km,1,Cubs," Preowned Yamaha Sniper V1 For Sale.We Know How You Feel Due To The High Coe However We Have The Solution To This Issue. Find Out From Us Now!✅ Low Interest Rate✅ Fast Loan Approval✅ Flexible Loan Options✅ Bad Credit Record Are Welcome✅ 3 Days Collection✅ We Accept Trade In✅ No Hidden Cost✅ We Provide Breakdown Of Pricing✅ Call Or Pm Us For Free Quotation✅ FreebiesWe Have A Wide Range Of Class 2B Class 2A And Class 2 Motorcycles.For More Information, Please Do Not Hesitate To Contact Us.Sales Enquiry:Please Contact Our Friendly Salesperson @- Gerald: +65 81882357- Deanna: +65 88829297Showroom Address:1080 / 1082 Serangoon RoadSingapore 328183Showroom Contact: 62927040 ",SGD$9288,SGD$9288,SGD$9288,SGD$9288
29,Yamaha,Yamaha FJR1300,SGD$21800,1298cc,Class 2,28-Dec-12,27-Dec-22,-,2,Sport Tourers," Pre Own Yamaha FJR1300 For Sale!Well Maintain By Previous Owner. Fully Stock Condition.New 10 Year COE Included. Drop By To Our Shop At:ImotoringBlk 1008 Bukit Merah Lane 3 #01-14 S(159722)Monday To Friday9.00 To 19.00Saturday 9.00 To 17.30Sunday & Public Holiday Close63771385 AccessoriesCome With 2 Side Box, 1 Top Box.",SGD$21800,SGD$21800,SGD$21800,SGD$21800
30,Suzuki,Suzuki GSX-R750,SGD$14800,749cc,Class 2,29-Jun-10,28-Jun-30,-,- ,Sport Bikes, Pre Own Suzuki GSX-R750 K9 For Sale!Well Maintain By Previous Owner. Instalment Plan Available In Our Shop.Drop By To Our Shop At:ImotoringBlk 1008 Bukit Merah Lane 3 #01-14 S(159722)Monday To Friday9.00 To 19.00Saturday 9.00 To 17.30Sunday & Public Holiday Close63771385 AccessoriesLegal Yoshimura Exhaust.Front And Rear Wheel Axle.Slider.,SGD$14800,SGD$14800,SGD$14800,SGD$14800
31,Yamaha,Yamaha FJR1300,SGD$18888,1298cc,Class 2,28-Feb-13,27-Feb-23,200000km,1,Sport Tourers, Yamaha FJR1300 For Sale.Consignment Unit.Price Comes With New 10 Years COE!Decent Condition.Best Touring Bike.5 Gear.Comes With 3 Months Warranty.Contact Us Today!! ,SGD$18888,SGD$18888,SGD$18888,SGD$18888
32,Yamaha,Yamaha YBR125,SGD$4900,124cc,Class 2B,21-Jun-10,20-Jun-25,-,- ,Street Bikes, Yamaha YBR125 For Sale.Interested Parties Are Welcome To Neg.Trade/Loan Available.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee.More Than 900 Bikes Have Been Sold Via This Platform! ,SGD$4900,SGD$4900,,
33,SYM,SYM Joyride 200i Evo,SGD$5990,171cc,Class 2B,29-Dec-15,28-Dec-25,107870km,- ,Scooters," SYM Joyride 200i Evo For Sale.COE Till Dec 2025.Loan Available, Welcome Trade In.Serious Buyers Are Welcome To Negotiate.Unit Selling Fast.Contact Us ASAP! ",SGD$5990,SGD$5990,SGD$5990,SGD$5990
34,BMW,BMW S1000R,SGD$59800,999cc,Class 2,18-Oct-21,17-Oct-31,3800km,1,Street Bikes," Unstoppable Challenging !!! All New BMW S1000R M Package. One Owner. 5Years Warranty By PML Local BMW Agent. PML Unit With Full High Specs Model. 6.5 Inch TFT Screen With BMW Connectivity. Full LED Headlight Pro And Adaptive Headlight.M Forged Wheels M Endurance Chain With Low-Friction DLC Coating.Gear Pro Shift Assist. Heated Grips. Keyless Ride. Cruise Control.Hill Start Control Prevents Uncontrolled Rolling Back. Showroom Condition With Genuine Mileage Of 3,800km Only. Viewing Is Highly Recommended. Please Feel Free Visit/Call Us With No Obligations. BMW Make Life a Ride. Accessories- Akrapovic Titanium Sports Silencer With LTA Approved. - BMW M Forged Wheels. Etc....",SGD$59800,SGD$59800,SGD$59800,SGD$59800
35,Honda,Honda CB400 Super 4 Revo,SGD$13800,399cc,Class 2A,6-Mar-09,31-Dec-27,152000km,- ,Street Bikes, Proven Most Iconic Naked Bike!Honda CB400 ( ABS ) Super Four Revo.COE Expiry Date 31/12/2017 Renewable. Well Maintained By Mature Owner. Fully Serviced By Reputable Workshop. Viewing Is Highly Recommended.Please Call/Visit Us With No Obligations. Accessories- Yoshimura Exhaust R77J With LTA Approved Cert- Engine Crash Bar Protectors- Shad Top BoxEtc....,SGD$13800,SGD$13800,SGD$13800,SGD$13800
36,MV Agusta,MV Agusta Turismo Veloce 800,SGD$14800,798cc,Class 2,4-Mar-16,3-Mar-26,13546km,6,Sport Tourers," 2016 Preloved MV Agusta Turismo Veloce For Sale.PS: Abs Is Not Working, Need To Fix Up, Suspension Sensor Faulty. Sell As It Is.A Hp Moto Cam M550 As A Freebie.Year End Promotion! Wait No More!Flat Rate For All Classes.2.68% P.A. - All Brand New2.98% P.A. - Used Bike/Reloan3.98% P.A. - Used Bike More Than 10 Years/ReloanT&C Applies$0 Down PaymentWe Accept Any Insurance CompaniesBuy Your Own Insurance/Any CompaniesFast Loan ApprovalFlexible Loan OptionsBad Credit Record/Drs All WelcomeWe Accept Trade InNo Hidden CostWe Provide Breakdown Of PricingCall Or Pm Us For Free QuotationMonthly Payment By Giro/PaynowWait No More! Contact Us Now: Illyas97121818https://wa.me/6597121818Aloysius 80280573https://wa.me/6580280573Jessica 83421818https://wa.me/6583421818Ezekiel 84361818https://wa.me/6584361818 Showroom Address:40 Kaki Bukit Crescent, Singapore 416266Tel: 67433110Operating Hours:Monday To Saturday (Closed On Ph)9:30am To 6:30pm ",SGD$14800,,SGD$14800,SGD$14800
37,BMW,BMW F800GS,SGD$25500,798cc,Class 2,11-Jan-12,19-Feb-22,88113km,3,Sport Tourers," Preloved BMW F800 GS For Sale.Price Included New 10 years COE.Year End Promotion! Wait No More!Flat Rate For All Classes.2.68% P.A. - All Brand New2.98% P.A. - Used Bike/Reloan3.98% P.A. - Used Bike More Than 10 Years/ReloanT&C Applies$0 Down PaymentWe Accept Any Insurance CompaniesBuy Your Own Insurance/Any CompaniesFast Loan ApprovalFlexible Loan OptionsBad Credit Record/Drs All WelcomeWe Accept Trade InNo Hidden CostWe Provide Breakdown Of PricingCall Or Pm Us For Free QuotationMonthly Payment By Giro/PaynowWait No More! Contact Us Now: Illyas97121818https://wa.me/6597121818Aloysius 80280573https://wa.me/6580280573Jessica 83421818https://wa.me/6583421818Ezekiel 84361818https://wa.me/6584361818 Showroom Address:40 Kaki Bukit Crescent, Singapore 416266Tel: 67433110Operating Hours:Monday To Saturday (Closed On Ph)9:30am To 6:30pm ",SGD$25500,SGD$25500,SGD$25500,SGD$25500
38,Honda,Honda CBR500R,SGD$6800,471cc,Class 2,3-Sep-13,2-Sep-23,-,- ,Sport Bikes, Honda CBR500R For Sale.Interested Parties Are Welcome To Neg.Trade/Loan Available.Do Visit Us At Wing Fuat @ Sims Place.No Early Settlement Fee.More Than 900 Bikes Have Been Sold Via This Platform! ,SGD$6800,,SGD$6800,SGD$6800
39,Honda,Honda CB190R,SGD$6888,184cc,Class 2B,15-May-17,14-May-27,13407km,- ,Street Bikes, Used Honda CB190R For Sale!Low Mileage.* Price Before Insurance Only. : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies Please Contact Our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915 Fiona - +65 96914631 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$6888,SGD$6888,SGD$6888,SGD$6888
40,Harley Davidson,Harley Davidson FXDB Dyna Street Bob,SGD$19500,1584cc,Class 2,31-Oct-13,30-Oct-23,65000km,1,Cruiser, Harley Davidson FXDB Dyna Street Bob For Sale.PM For Details. ,SGD$19500,SGD$19500,SGD$19500,SGD$19500
41,Yamaha,Yamaha Xmax 300,SGD$16588,292cc,Class 2A,1-Nov-18,31-Oct-28,22798km,- ,Scooters, Used Yamaha X-Max 300 For Sale!Low Mileage.* Price Before Insurance Only. : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies Please Contact Our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915 Fiona - +65 96914631 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$16588,SGD$16588,SGD$16588,SGD$16588
42,Yamaha,Yamaha YZF-R15,SGD$10388,155cc,Class 2B,23-Nov-19,22-Nov-29,60613km,- ,Sport Bikes, Used Yamaha R15 V3 For Sale!* Price Before Insurance Only. : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies Please Contact Our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915 Fiona - +65 96914631 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$10388,SGD$10388,SGD$10388,SGD$10388
43,Suzuki,Suzuki GSR400,SGD$7800,398cc,Class 2A,22-Feb-08,21-Feb-28,-,- ,Street Bikes, Suzuki GSR400M Glossy Black Metallic Color.Mature Owner. COE Expiry On 21/02/2028 Renewable. Very Well Taken Care By Ex-Owner.Servicing Done On Time Regularly With Reputable Workshop. View To Believed.Please Call/Visit Us Now With No Obligation. Accessories- Top Box- Front And Rear Slider Protectors Etc....,SGD$7800,SGD$7800,SGD$7800,SGD$7800
44,Keeway,Keeway SilverBlade 125,SGD$7910,125cc,Class 2B,19-Mar-19,18-Mar-29,25100km,1,Scooters," Benelli Class 2B Scooter Economical & Fuel Efficient Auto Scooter For Sale.Coe Till Mar 2026(Renewable).Good Running & Looking Condition.Storage Equipment With Ample Space.We Offer : - - -Machine Price S$5970+ LTA Transfer Fee $25+ Insurance Premium $165 .-( Age :31 With 2 Year Riding License Experience )+ Road Tax 6 Months $32So On The Road Price ( As Follows ) :--Total $6192-(Net Price Total, No Hidden Price & No Addition Charge). Our Quality Used Bike All Comes With 3000Km ( Three Month ) Warranty.Bike Available For Viewing At GHC. Tel: 62916664. Whatsapp 90224811. In Charge Officer: David Cheong. Guan Hoe Cheong Trading Co. Motorcycle Dealer & Workshop At 1110 & 1108 Serangoon Road Singapore 328200.Near By Boon Keng Mrt. Behind Block 49 Whampoa South. Monday To Saturday At 10.30am To 6.30pm. ",SGD$7910,SGD$7910,SGD$7910,SGD$7910
45,Yamaha,Yamaha MT-09,SGD$12800,847cc,Class 2,9-Oct-15,8-Oct-25,74266km,- ,Street Bikes," Yamaha MT-09 For Sale.COE Till Oct 2025.Loan Available, Welcome Trade In.Serious Buyers Are Welcome To Negotiate.Unit Selling Fast.Contact Us ASAP! ",SGD$12800,,SGD$12800,SGD$12800
46,Honda,Honda CBR1000RR,SGD$14500,999cc,Class 2,18-Feb-14,17-Feb-24,81098km,- ,Sport Bikes," Honda CBR1000RR For Sale.COE Till 2024. Loan Available, Welcome Trade In.Serious Buyers Are Welcome To Negotiate.Unit Selling Fast.Contact Us ASAP! ",SGD$14500,SGD$14500,SGD$14500,SGD$14500
47,Honda,Honda Forza 300,SGD$17388,279cc,Class 2A,26-Mar-21,25-Mar-31,12129km,- ,Scooters, Used Honda Forza 300 For Sale!* Price Before Insurance Only. : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies Please Contact Our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915 Fiona - +65 96914631 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$17388,,SGD$16888,SGD$16888
48,Yamaha,Yamaha MT-09 Tracer GT,SGD$22000,847cc,Class 2,11-Aug-18,10-Aug-28,49000km,1,Street Bikes, Yamaha MT-09 Tracer GT For Sale.Tip Top Condition.Number Plate Will Be Retained.Prefer Cash Payment.PM For Details. Accessories- 42L Kappa Top Box- Original Side Box,SGD$22000,SGD$22000,SGD$22000,SGD$22000
49,Honda,Honda Wave 125,SGD$7910,125cc,Class 2B,23-Mar-09,28-Feb-29,35100km,2,Cubs, Despatch Bike Honda Wave 125 For Sale.Coe Till Feb 2029 (Renewable).Economical & Fuel Efficient Semi Auto Cub.Low Fuel Consumption.In Tip Top Condition.Single-cylinder Four-stroke Air-cooled.Simple And Easy To Repair & Maintenance.Our Quality Used Bike All Comes With 1000Km ( One Month ) Warranty.Bike Available For Viewing At GHC. Tel: 62916664. Whatsapp 90224811. In Charge Officer: David Cheong. Guan Hoe Cheong Trading Co. Motorcycle Dealer & Workshop At 1110 & 1108 Serangoon Road Singapore 328200.Near By Boon Keng Mrt. Behind Block 49 Whampoa South. Monday To Saturday At 10.30am To 6.30pm. Accessories- Rear Top Box,SGD$7910,SGD$7910,SGD$7910,SGD$7910
50,Yamaha,Yamaha FZ1-N,SGD$14888,998cc,Class 2,12-Jul-11,30-Jun-31,10500km,- ,Street Bikes, Yamaha FZ1-N For Sale.Price With Renewal 10Yrs Coe Till 2031.Prices Are Negotiable. Trade In Or Loan Available. Viewing Will Be At Dynasty Motor Pte Ltd @ Bukit Batok.Midview Building.50 Bukit Batok St 23 #01-24.S'pore 659578. AccessoriesWith Approval Leo Vince Exhaust.,SGD$14888,SGD$14888,SGD$14888,SGD$14888
